group_id,girl,kind,idx,n_lines,id,path_id,field_path,text
AskDate,,AskDate,0,74,243deeaa00fa,9002,lineSets[0].label,success
AskDate,,AskDate,1,74,6e4e4318a6fe,9002,lineSets[0].lines[0].dialogLine[0].text,"Yeah, okay!····· I'd love to go out with you."
AskDate,,AskDate,2,74,af376723755d,9002,lineSets[0].lines[0].dialogLine[1].secondaryText,"You ma'am,··· have got yourself a date."
AskDate,,AskDate,3,74,cbec3733dcfe,9002,lineSets[0].lines[0].dialogLine[1].text,"You sir,··· have got yourself a date."
AskDate,,AskDate,4,74,ab4cdc4cbcc5,9002,lineSets[0].lines[0].dialogLine[2].text,Yes!·········· I was afraid you weren't going to ask!
AskDate,,AskDate,5,74,6320c4e87893,9002,lineSets[0].lines[0].dialogLine[3].text,Okay...····· If I go out with you will you stop bothering me?
AskDate,,AskDate,6,74,7abce94ad3db,9002,lineSets[0].lines[0].dialogLine[4].text,Yes!······· I'd love to go on a date with you.
AskDate,,AskDate,7,74,8d4b7a813c80,9002,lineSets[0].lines[0].dialogLine[5].text,"Okay...····· I guess that's fine.········ I mean,····· if you really want to go."
AskDate,,AskDate,8,74,638362eeb2ff,9002,lineSets[0].lines[0].dialogLine[6].text,I would never say no to you sweetie.····· I'm ready when you are.
AskDate,,AskDate,9,74,4506e4cfe594,9002,lineSets[0].lines[0].dialogLine[7].text,"Oh,····· are you sure?········ Yes,········ of course I'll go!"
AskDate,,AskDate,10,74,96844d8f60a2,9002,lineSets[0].lines[0].dialogLine[8].text,Let's fuckin' date this shit up!
AskDate,,AskDate,11,74,6ff7daa4f80c,9002,lineSets[0].lines[0].dialogLine[9].text,··Yea!··· Date time!
AskDate,,AskDate,12,74,ba3f8f49cbad,9002,lineSets[0].lines[0].dialogLine[10].text,"Yes,····· I will go out with you."
AskDate,,AskDate,13,74,1a5e6498bcb3,9002,lineSets[0].lines[0].dialogLine[11].text,"Riiiight,·········· shall we leave then?"
AskDate,,AskDate,14,74,afcda455b561,9002,lineSets[0].lines[1].dialogLine[0].text,You betcha!····· You wanna get going?
AskDate,,AskDate,15,74,6d215d0959c7,9002,lineSets[0].lines[1].dialogLine[1].text,Sure!······· I suppose you've earned it.
AskDate,,AskDate,16,74,3be6c8d8b2dd,9002,lineSets[0].lines[1].dialogLine[2].text,For real?············ Yes!············ Just give me a second to get ready.
AskDate,,AskDate,17,74,aa87773db4af,9002,lineSets[0].lines[1].dialogLine[3].text,"Yeah, yeah.····· You're lucky I'm in a good mood today."
AskDate,,AskDate,18,74,6a23592b7da6,9002,lineSets[0].lines[1].dialogLine[4].text,I was about to ask you the same!·········· Shall we?
AskDate,,AskDate,19,74,3ec1f208e9e0,9002,lineSets[0].lines[1].dialogLine[5].text,"Wow.······ Uhhhh,············ okay.·················· I mean,····· yeah,····· let's do it."
AskDate,,AskDate,20,74,46f8b472ca72,9002,lineSets[0].lines[1].dialogLine[6].text,"Awwwww,··············· you want to take me out?····· Of course I'll go.···"
AskDate,,AskDate,21,74,2d7a43cdceb5,9002,lineSets[0].lines[1].dialogLine[7].text,That sounds lovely.·········· I can't wait!
AskDate,,AskDate,22,74,5dca197267cc,9002,lineSets[0].lines[1].dialogLine[8].text,Come on!····· Seduce me with your sexy puzzle skills.
