id,category,source_file,path_id,object_name,field_path,text,pt_BR
12fe7eda92c4,dialogue,sharedassets0.assets,8623,IntroAiko,steps[10].sceneLine.dialogLine.text,Nothing like a little exercise to melt that stress away.,
805058c2f0d5,dialogue,sharedassets0.assets,8623,IntroAiko,steps[11].sceneLine.dialogLine.text,"Ehhhhh,····· not today.············ I'm just not feelin' it.",
9f8f13cafb38,dialogue,sharedassets0.assets,8623,IntroAiko,steps[12].sceneLine.dialogLine.text,Will I at least be seeing you this weekend at the studio?,
c70b22e0ae85,dialogue,sharedassets0.assets,8623,IntroAiko,steps[13].sceneLine.dialogLine.text,"I'll be there.·········· I don't think I have anything else going on, for once.",
c7a425a68008,dialogue,sharedassets0.assets,8623,IntroAiko,steps[14].sceneLine.dialogLine.text,Great!····· Can't wait!·········· See you there.,
41bda1e71007,dialogue,sharedassets0.assets,8623,IntroAiko,steps[16].sceneLine.dialogLine.secondaryText,Asian chicks...·········· don't even get me started.,
ab75519b4196,dialogue,sharedassets0.assets,8623,IntroAiko,steps[16].sceneLine.dialogLine.text,Dude...······· bro...········· Asian chicks...·········· don't even get me started.,
267ff08d4fd3,dialogue,sharedassets0.assets,8623,IntroAiko,steps[17].sceneLine.dialogLine.text,I··· have like the worst case of yellow fever··· ever...····· EV··ER.····· Like··· a yellow··· plague.,
de3f01f7dce4,dialogue,sharedassets0.assets,8623,IntroAiko,steps[1].sceneLine.dialogLine.text,Aaaaaaaaaahhhhh...,
7573806a2305,dialogue,sharedassets0.assets,8623,IntroAiko,steps[20].sceneLine.dialogLine.text,"This is a tough approach.····· She's kinda in a shitty mood, so··· say something stupid to try and cheer her up.",
dc26044e8f8d,dialogue,sharedassets0.assets,8623,IntroAiko,steps[21].sceneLine.dialogLine.text,It doesn't matter what.····· The stupider the better.,
2b085e8e59ce,dialogue,sharedassets0.assets,8623,IntroAiko,steps[23].responseOptions[0].steps[0].sceneLine.dialogLine.text,*hahahahahahahaha*··········I ask myself the same thing··· all the time.,
9a603c3b212d,dialogue,sharedassets0.assets,8623,IntroAiko,steps[23].responseOptions[0].text,Isn't it funny how life is pointless and nothing matters?,
f0974454b22d,dialogue,sharedassets0.assets,8623,IntroAiko,steps[23].responseOptions[1].steps[0].sceneLine.dialogLine.text,*hahahahahahaha*·····Oh my god!····· Could you please be more racist?,
7962ee2d5456,dialogue,sharedassets0.assets,8623,IntroAiko,steps[23].responseOptions[2].steps[0].sceneLine.dialogLine.text,"*haha*··*hahahaha*·····Nooo,····· I like the birds.",
3cad45c0642c,dialogue,sharedassets0.assets,8623,IntroAiko,steps[24].responseOptions[0].steps[0].sceneLine.dialogLine.text,Noooooo...········ I look like a mess right now.····· I'm sure my hair is a disaster.,
167f1308aa6f,dialogue,sharedassets0.assets,8623,IntroAiko,steps[24].responseOptions[0].text,I'm only kidding. I just thought you were cute and wanted to meet you.,
