sample_id,category,occurrences,text,pt_BR
7ea5b6cf9560,other,12,C Cup,
dee885cbbaac,other,12,Spring,
ea795c4c3081,other,10,Lusties Nightclub,
bb5f22d676f8,other,9,Autumn,
11c8ee051c97,other,9,Kyanna,
3b571433be6d,other,9,Winter,
53b885fe5c79,other,8,5 Feet 4 Inches,
f093598c4b0a,other,8,D Cup,
f9c97fd0e65b,dialogue,7,I hope to see you again soon.,
ea2cc32560a5,other,7,Audrey,
0277c2c70be5,other,7,DD Cup,
c5476e8bb129,other,7,Summer,
b0d6696be472,item,6,A delicious and healthy snack for the health conscious consumer.,
173099086577,item,6,A sweet and juicy tropical treat packed with vitamins and minerals.,
5952adc974cf,item,6,What could it be? Open it up and see what's inside!,
50b8ae5bb688,other,6,5 Feet 7 Inches,
e24dadc714ea,other,6,Action Label,
e12ae93ba299,other,6,Bar & Lounge,
b2e48c49adb8,other,6,Sub Label,
3a1fdda83d7b,other,5,23 Years Old,
621066d5a90d,other,5,5 Feet 0 Inches,
d81eb9299cf5,other,5,5 Feet 2 Inches,
6203ec15fa77,other,5,Aiko,
8ae0948a9725,other,5,B Cup,
3f0e0baebcdc,other,5,Jessie,
05f1e616eb10,other,5,Nutmeg Cafe,
731350f8e6e1,other,5,Talk option content goes here...,
60d1d1461f48,other,5,University Campus,
f5e7fe9b59b4,other,5,You're a university student.,
aff8a8a22159,other,5,You've dropped out of high school.,
762121829d65,other,5,You've graduated with a two year degree.,
1ff9b5968f04,other,5,You've only finished high school.,
ae158ff8867d,dialogue,4,Oh...····· hey.,
9073f55794f4,dialogue,4,"Okay,······· I'm here.····· So, now what?",
ba2e2b729d01,other,4,+moves,
52fd38d9f7ba,other,4,104 lbs,
3f7234601e4c,other,4,109 lbs,
a1d424d432a3,other,4,132 lbs,
fa1ce8365567,other,4,21 Years Old,
0c3b62085cbf,other,4,5 Feet 8 Inches,
aed17697e3f3,other,4,5 Feet 9 Inches,
4a92300dec13,other,4,A Cup,
c8398e1ddb40,other,4,Afternoon,
49735cd97715,other,4,Beli,
45b690300842,other,4,Dawnwood Park,
ddd5b1640508,other,4,Gleamy Gold,
40cf67299dbd,other,4,Hot Springs,
3102dc396fd9,other,4,Ice Rink,
acefa3e9f48d,other,4,Meditation,
18fd3efc38f3,other,4,Milky Pink,
36f0a2dec35f,other,4,My Bedroom,
0a8abd59017d,other,4,Nikki,
406aacd765fe,other,4,October 2nd,
aa16b4fd5de9,other,4,Save Data #1,
1df239e14079,other,4,September 1st,
29eb284748b6,other,4,Shopping,
442cdea7d112,other,4,Shopping Mall,
12efd884ea63,other,4,Swimming,
9f115b844a46,other,4,Wednesday 05,
2bc8ff567130,other,4,You're a university professor.,
96d144427f65,other,4,You're an adult actress.,
baf7b6825e55,other,4,You're an airline stewardess.,
c5b01ad9a456,other,4,You're currently enrolled in college.,
67d31d72b66c,dialogue,3,Don't be afraid to take a chance but try not to scare her off.,
fd098435aa70,dialogue,3,Open up with something safe to try and get on her good side.,
80c26628777f,dialogue,3,Say something really stupid to try and cheer her up.,
ebf374a538fc,dialogue,3,She's looking for a decent girl so try not to be an asshole.,
4a63a4689fd2,dialogue,3,She's looking for a decent guy so try not to be an asshole.,
f73b790ab9fe,dialogue,3,Take charge and don't let any of her bullshit get to me.,
e52fea5d7be8,dialogue,3,That my weirdness might actually pay off so just be myself.,
f38dd415a165,dialogue,3,The nice girl shit wasn't going to cut it so I had to be aggressive.,
e376bd5dc7ea,dialogue,3,The nice guy shit wasn't going to cut it so I had to be aggressive.,
ccac1ba676aa,dialogue,3,To quickly say something to her before she had a chance to get away.,
62a4297ab606,dialogue,3,"Uhhh...····· yeah,····· okay.····· Bye...",
b81f23088414,dialogue,3,You've graduated with a four year degree.,
cd3403d4bd81,dialogue,3,sex,
243deeaa00fa,dialogue,3,success,
be92ac559a6f,other,3,110 lbs,
00b3ecf07e33,other,3,112 lbs,
e129d1a87e90,other,3,122 lbs,
